Texto,Emoción
"Perdí a mi mejor amigo, me siento muy solo. (Variación 13)",Tristeza
"Perdí a mi mejor amigo, me siento muy solo. (Variación 96)",Tristeza
"Perdí a mi mejor amigo, me siento muy solo. (Variación 40)",Tristeza
¡Esa montaña rusa fue increíblemente emocionante! (Variación 12),Sorpresa
¡Esa montaña rusa fue increíblemente emocionante! (Variación 131),Sorpresa
No puedo creer que me hayan mentido de esa manera. (Variación 20),Enojo
Gané la lotería y puedo comprar la casa de mis sueños. (Variación 33),Felicidad
No puedo creer que me hayan mentido de esa manera. (Variación 64),Enojo
Escuchar esos ruidos por la noche me da mucho miedo. (Variación 12),Miedo
"Perdí a mi mejor amigo, me siento muy solo. (Variación 48)",Tristeza
Gané la lotería y puedo comprar la casa de mis sueños. (Variación 37),Felicidad
Escuchar esos ruidos por la noche me da mucho miedo. (Variación 126),Miedo
"Perdí a mi mejor amigo, me siento muy solo. (Variación 93)",Tristeza
¡Esa montaña rusa fue increíblemente emocionante! (Variación 70),Sorpresa
Escuchar esos ruidos por la noche me da mucho miedo. (Variación 25),Miedo
¡Esa montaña rusa fue increíblemente emocionante! (Variación 48),Sorpresa
No puedo soportar el olor de la comida descompuesta. (Variación 47),Asco
"Perdí a mi mejor amigo, me siento muy solo. (Variación 62)",Tristeza
¡Esa montaña rusa fue increíblemente emocionante! (Variación 15),Sorpresa
"Perdí a mi mejor amigo, me siento muy solo. (Variación 55)",Tristeza
No puedo soportar el olor de la comida descompuesta. (Variación 52),Asco
"Perdí a mi mejor amigo, me siento muy solo. (Variación 132)",Tristeza
Escuchar esos ruidos por la noche me da mucho miedo. (Variación 11),Miedo
No puedo creer que me hayan mentido de esa manera. (Variación 71),Enojo
No puedo soportar el olor de la comida descompuesta. (Variación 42),Asco
"Perdí a mi mejor amigo, me siento muy solo. (Variación 105)",Tristeza
No puedo creer que me hayan mentido de esa manera. (Variación 87),Enojo
No puedo creer que me hayan mentido de esa manera. (Variación 89),Enojo
"Perdí a mi mejor amigo, me siento muy solo. (Variación 9)",Tristeza
¡Esa montaña rusa fue increíblemente emocionante! (Variación 110),Sorpresa
"Perdí a mi mejor amigo, me siento muy solo. (Variación 40)",Tristeza
Gané la lotería y puedo comprar la casa de mis sueños. (Variación 141),Felicidad
No puedo soportar el olor de la comida descompuesta. (Variación 20),Asco
No puedo creer que me hayan mentido de esa manera. (Variación 20),Enojo
"Perdí a mi mejor amigo, me siento muy solo. (Variación 146)",Tristeza
"Perdí a mi mejor amigo, me siento muy solo. (Variación 73)",Tristeza
No puedo soportar el olor de la comida descompuesta. (Variación 102),Asco
¡Esa montaña rusa fue increíblemente emocionante! (Variación 9),Sorpresa
Gané la lotería y puedo comprar la casa de mis sueños. (Variación 2),Felicidad
Gané la lotería y puedo comprar la casa de mis sueños. (Variación 149),Felicidad
"Perdí a mi mejor amigo, me siento muy solo. (Variación 4)",Tristeza
Escuchar esos ruidos por la noche me da mucho miedo. (Variación 100),Miedo
No puedo soportar el olor de la comida descompuesta. (Variación 149),Asco
No puedo creer que me hayan mentido de esa manera. (Variación 6),Enojo
Gané la lotería y puedo comprar la casa de mis sueños. (Variación 107),Felicidad
No puedo creer que me hayan mentido de esa manera. (Variación 55),Enojo
Escuchar esos ruidos por la noche me da mucho miedo. (Variación 40),Miedo
No puedo creer que me hayan mentido de esa manera. (Variación 31),Enojo
"Perdí a mi mejor amigo, me siento muy solo. (Variación 49)",Tristeza
Escuchar esos ruidos por la noche me da mucho miedo. (Variación 59),Miedo
Escuchar esos ruidos por la noche me da mucho miedo. (Variación 65),Miedo
No puedo creer que me hayan mentido de esa manera. (Variación 20),Enojo
Escuchar esos ruidos por la noche me da mucho miedo. (Variación 64),Miedo
¡Esa montaña rusa fue increíblemente emocionante! (Variación 100),Sorpresa
No puedo soportar el olor de la comida descompuesta. (Variación 27),Asco
"Perdí a mi mejor amigo, me siento muy solo. (Variación 83)",Tristeza
¡Esa montaña rusa fue increíblemente emocionante! (Variación 70),Sorpresa
No puedo soportar el olor de la comida descompuesta. (Variación 48),Asco
No puedo creer que me hayan mentido de esa manera. (Variación 36),Enojo
No puedo creer que me hayan mentido de esa manera. (Variación 83),Enojo
No puedo soportar el olor de la comida descompuesta. (Variación 149),Asco
No puedo creer que me hayan mentido de esa manera. (Variación 9),Enojo
No puedo soportar el olor de la comida descompuesta. (Variación 19),Asco
Escuchar esos ruidos por la noche me da mucho miedo. (Variación 94),Miedo
¡Esa montaña rusa fue increíblemente emocionante! (Variación 46),Sorpresa
"Perdí a mi mejor amigo, me siento muy solo. (Variación 111)",Tristeza
¡Esa montaña rusa fue increíblemente emocionante! (Variación 87),Sorpresa
No puedo creer que me hayan mentido de esa manera. (Variación 118),Enojo
¡Esa montaña rusa fue increíblemente emocionante! (Variación 141),Sorpresa
No puedo creer que me hayan mentido de esa manera. (Variación 15),Enojo
Gané la lotería y puedo comprar la casa de mis sueños. (Variación 27),Felicidad
No puedo creer que me hayan mentido de esa manera. (Variación 43),Enojo
Escuchar esos ruidos por la noche me da mucho miedo. (Variación 38),Miedo
Escuchar esos ruidos por la noche me da mucho miedo. (Variación 16),Miedo
¡Esa montaña rusa fue increíblemente emocionante! (Variación 76),Sorpresa
"Perdí a mi mejor amigo, me siento muy solo. (Variación 64)",Tristeza
Gané la lotería y puedo comprar la casa de mis sueños. (Variación 93),Felicidad
Escuchar esos ruidos por la noche me da mucho miedo. (Variación 142),Miedo
No puedo creer que me hayan mentido de esa manera. (Variación 133),Enojo
No puedo soportar el olor de la comida descompuesta. (Variación 130),Asco
Escuchar esos ruidos por la noche me da mucho miedo. (Variación 96),Miedo
Gané la lotería y puedo comprar la casa de mis sueños. (Variación 59),Felicidad
¡Esa montaña rusa fue increíblemente emocionante! (Variación 90),Sorpresa
Gané la lotería y puedo comprar la casa de mis sueños. (Variación 11),Felicidad
"Perdí a mi mejor amigo, me siento muy solo. (Variación 69)",Tristeza
"Perdí a mi mejor amigo, me siento muy solo. (Variación 121)",Tristeza
"Perdí a mi mejor amigo, me siento muy solo. (Variación 64)",Tristeza
¡Esa montaña rusa fue increíblemente emocionante! (Variación 124),Sorpresa
Escuchar esos ruidos por la noche me da mucho miedo. (Variación 4),Miedo
¡Esa montaña rusa fue increíblemente emocionante! (Variación 117),Sorpresa
¡Esa montaña rusa fue increíblemente emocionante! (Variación 25),Sorpresa
"Perdí a mi mejor amigo, me siento muy solo. (Variación 142)",Tristeza
¡Esa montaña rusa fue increíblemente emocionante! (Variación 52),Sorpresa
"Perdí a mi mejor amigo, me siento muy solo. (Variación 94)",Tristeza
Escuchar esos ruidos por la noche me da mucho miedo. (Variación 80),Miedo
No puedo creer que me hayan mentido de esa manera. (Variación 115),Enojo
No puedo soportar el olor de la comida descompuesta. (Variación 48),Asco
¡Esa montaña rusa fue increíblemente emocionante! (Variación 70),Sorpresa
"Perdí a mi mejor amigo, me siento muy solo. (Variación 20)",Tristeza
"Perdí a mi mejor amigo, me siento muy solo. (Variación 6)",Tristeza
"Perdí a mi mejor amigo, me siento muy solo. (Variación 11)",Tristeza
¡Esa montaña rusa fue increíblemente emocionante! (Variación 58),Sorpresa
No puedo creer que me hayan mentido de esa manera. (Variación 118),Enojo
Gané la lotería y puedo comprar la casa de mis sueños. (Variación 147),Felicidad
No puedo creer que me hayan mentido de esa manera. (Variación 132),Enojo
No puedo soportar el olor de la comida descompuesta. (Variación 55),Asco
¡Esa montaña rusa fue increíblemente emocionante! (Variación 92),Sorpresa
No puedo soportar el olor de la comida descompuesta. (Variación 25),Asco
Escuchar esos ruidos por la noche me da mucho miedo. (Variación 98),Miedo
"Perdí a mi mejor amigo, me siento muy solo. (Variación 18)",Tristeza
Escuchar esos ruidos por la noche me da mucho miedo. (Variación 66),Miedo
Gané la lotería y puedo comprar la casa de mis sueños. (Variación 114),Felicidad
"Perdí a mi mejor amigo, me siento muy solo. (Variación 121)",Tristeza
Gané la lotería y puedo comprar la casa de mis sueños. (Variación 40),Felicidad
No puedo creer que me hayan mentido de esa manera. (Variación 68),Enojo
¡Esa montaña rusa fue increíblemente emocionante! (Variación 146),Sorpresa
Gané la lotería y puedo comprar la casa de mis sueños. (Variación 68),Felicidad
Gané la lotería y puedo comprar la casa de mis sueños. (Variación 119),Felicidad
Escuchar esos ruidos por la noche me da mucho miedo. (Variación 79),Miedo
No puedo creer que me hayan mentido de esa manera. (Variación 39),Enojo
Gané la lotería y puedo comprar la casa de mis sueños. (Variación 44),Felicidad
Gané la lotería y puedo comprar la casa de mis sueños. (Variación 126),Felicidad
No puedo creer que me hayan mentido de esa manera. (Variación 103),Enojo
¡Esa montaña rusa fue increíblemente emocionante! (Variación 29),Sorpresa
No puedo creer que me hayan mentido de esa manera. (Variación 98),Enojo
"Perdí a mi mejor amigo, me siento muy solo. (Variación 47)",Tristeza
No puedo soportar el olor de la comida descompuesta. (Variación 102),Asco
"Perdí a mi mejor amigo, me siento muy solo. (Variación 10)",Tristeza
Escuchar esos ruidos por la noche me da mucho miedo. (Variación 143),Miedo
No puedo soportar el olor de la comida descompuesta. (Variación 72),Asco
No puedo soportar el olor de la comida descompuesta. (Variación 137),Asco
No puedo creer que me hayan mentido de esa manera. (Variación 18),Enojo
No puedo creer que me hayan mentido de esa manera. (Variación 51),Enojo
¡Esa montaña rusa fue increíblemente emocionante! (Variación 88),Sorpresa
¡Esa montaña rusa fue increíblemente emocionante! (Variación 59),Sorpresa
No puedo soportar el olor de la comida descompuesta. (Variación 119),Asco
No puedo creer que me hayan mentido de esa manera. (Variación 142),Enojo
¡Esa montaña rusa fue increíblemente emocionante! (Variación 64),Sorpresa
Gané la lotería y puedo comprar la casa de mis sueños. (Variación 88),Felicidad
¡Esa montaña rusa fue increíblemente emocionante! (Variación 75),Sorpresa
No puedo creer que me hayan mentido de esa manera. (Variación 81),Enojo
Gané la lotería y puedo comprar la casa de mis sueños. (Variación 17),Felicidad
Escuchar esos ruidos por la noche me da mucho miedo. (Variación 70),Miedo
Escuchar esos ruidos por la noche me da mucho miedo. (Variación 22),Miedo
"Perdí a mi mejor amigo, me siento muy solo. (Variación 123)",Tristeza
No puedo soportar el olor de la comida descompuesta. (Variación 88),Asco
"Perdí a mi mejor amigo, me siento muy solo. (Variación 50)",Tristeza
"Perdí a mi mejor amigo, me siento muy solo. (Variación 60)",Tristeza
No puedo creer que me hayan mentido de esa manera. (Variación 20),Enojo
¡Esa montaña rusa fue increíblemente emocionante! (Variación 135),Sorpresa
¡Esa montaña rusa fue increíblemente emocionante! (Variación 85),Sorpresa
No puedo soportar el olor de la comida descompuesta. (Variación 46),Asco
¡Esa montaña rusa fue increíblemente emocionante! (Variación 140),Sorpresa
Escuchar esos ruidos por la noche me da mucho miedo. (Variación 57),Miedo
No puedo creer que me hayan mentido de esa manera. (Variación 98),Enojo
Escuchar esos ruidos por la noche me da mucho miedo. (Variación 59),Miedo
No puedo soportar el olor de la comida descompuesta. (Variación 19),Asco
Escuchar esos ruidos por la noche me da mucho miedo. (Variación 80),Miedo
No puedo soportar el olor de la comida descompuesta. (Variación 112),Asco
Gané la lotería y puedo comprar la casa de mis sueños. (Variación 145),Felicidad
Gané la lotería y puedo comprar la casa de mis sueños. (Variación 22),Felicidad
Escuchar esos ruidos por la noche me da mucho miedo. (Variación 122),Miedo
"Perdí a mi mejor amigo, me siento muy solo. (Variación 136)",Tristeza
Escuchar esos ruidos por la noche me da mucho miedo. (Variación 122),Miedo
No puedo creer que me hayan mentido de esa manera. (Variación 129),Enojo
No puedo creer que me hayan mentido de esa manera. (Variación 117),Enojo
Escuchar esos ruidos por la noche me da mucho miedo. (Variación 107),Miedo
"Perdí a mi mejor amigo, me siento muy solo. (Variación 81)",Tristeza
Escuchar esos ruidos por la noche me da mucho miedo. (Variación 3),Miedo
Escuchar esos ruidos por la noche me da mucho miedo. (Variación 40),Miedo
Escuchar esos ruidos por la noche me da mucho miedo. (Variación 140),Miedo
No puedo soportar el olor de la comida descompuesta. (Variación 113),Asco
No puedo soportar el olor de la comida descompuesta. (Variación 35),Asco
Escuchar esos ruidos por la noche me da mucho miedo. (Variación 13),Miedo
Escuchar esos ruidos por la noche me da mucho miedo. (Variación 33),Miedo
No puedo soportar el olor de la comida descompuesta. (Variación 132),Asco
Escuchar esos ruidos por la noche me da mucho miedo. (Variación 77),Miedo
No puedo soportar el olor de la comida descompuesta. (Variación 143),Asco
No puedo creer que me hayan mentido de esa manera. (Variación 130),Enojo
No puedo soportar el olor de la comida descompuesta. (Variación 98),Asco
¡Esa montaña rusa fue increíblemente emocionante! (Variación 122),Sorpresa
No puedo creer que me hayan mentido de esa manera. (Variación 19),Enojo
No puedo soportar el olor de la comida descompuesta. (Variación 91),Asco
Escuchar esos ruidos por la noche me da mucho miedo.,Miedo
Gané la lotería y puedo comprar la casa de mis sueños. (Variación 56),Felicidad
No puedo soportar el olor de la comida descompuesta. (Variación 78),Asco
"Perdí a mi mejor amigo, me siento muy solo. (Variación 114)",Tristeza
Gané la lotería y puedo comprar la casa de mis sueños. (Variación 35),Felicidad
Gané la lotería y puedo comprar la casa de mis sueños. (Variación 134),Felicidad
Gané la lotería y puedo comprar la casa de mis sueños. (Variación 94),Felicidad
Escuchar esos ruidos por la noche me da mucho miedo. (Variación 135),Miedo
"Perdí a mi mejor amigo, me siento muy solo. (Variación 143)",Tristeza
No puedo creer que me hayan mentido de esa manera. (Variación 33),Enojo
Escuchar esos ruidos por la noche me da mucho miedo. (Variación 26),Miedo
No puedo soportar el olor de la comida descompuesta. (Variación 23),Asco
"Perdí a mi mejor amigo, me siento muy solo. (Variación 47)",Tristeza
No puedo creer que me hayan mentido de esa manera. (Variación 65),Enojo
Gané la lotería y puedo comprar la casa de mis sueños. (Variación 93),Felicidad
No puedo soportar el olor de la comida descompuesta. (Variación 64),Asco
"Perdí a mi mejor amigo, me siento muy solo. (Variación 62)",Tristeza
Escuchar esos ruidos por la noche me da mucho miedo. (Variación 64),Miedo
¡Esa montaña rusa fue increíblemente emocionante! (Variación 107),Sorpresa
"Perdí a mi mejor amigo, me siento muy solo. (Variación 69)",Tristeza
¡Esa montaña rusa fue increíblemente emocionante! (Variación 97),Sorpresa
Gané la lotería y puedo comprar la casa de mis sueños. (Variación 68),Felicidad
"Perdí a mi mejor amigo, me siento muy solo. (Variación 39)",Tristeza
Escuchar esos ruidos por la noche me da mucho miedo. (Variación 10),Miedo
No puedo creer que me hayan mentido de esa manera. (Variación 14),Enojo
Escuchar esos ruidos por la noche me da mucho miedo. (Variación 137),Miedo
¡Esa montaña rusa fue increíblemente emocionante! (Variación 123),Sorpresa
¡Esa montaña rusa fue increíblemente emocionante! (Variación 45),Sorpresa
¡Esa montaña rusa fue increíblemente emocionante! (Variación 2),Sorpresa
¡Esa montaña rusa fue increíblemente emocionante! (Variación 102),Sorpresa
Escuchar esos ruidos por la noche me da mucho miedo. (Variación 34),Miedo
¡Esa montaña rusa fue increíblemente emocionante! (Variación 120),Sorpresa
No puedo creer que me hayan mentido de esa manera. (Variación 141),Enojo
No puedo creer que me hayan mentido de esa manera. (Variación 12),Enojo
No puedo creer que me hayan mentido de esa manera. (Variación 24),Enojo
No puedo soportar el olor de la comida descompuesta. (Variación 62),Asco
Gané la lotería y puedo comprar la casa de mis sueños. (Variación 117),Felicidad
"Perdí a mi mejor amigo, me siento muy solo. (Variación 94)",Tristeza
Gané la lotería y puedo comprar la casa de mis sueños. (Variación 107),Felicidad
No puedo soportar el olor de la comida descompuesta. (Variación 12),Asco
¡Esa montaña rusa fue increíblemente emocionante! (Variación 93),Sorpresa
No puedo soportar el olor de la comida descompuesta. (Variación 66),Asco
No puedo soportar el olor de la comida descompuesta. (Variación 46),Asco
Gané la lotería y puedo comprar la casa de mis sueños. (Variación 145),Felicidad
"Perdí a mi mejor amigo, me siento muy solo. (Variación 24)",Tristeza
"Perdí a mi mejor amigo, me siento muy solo. (Variación 62)",Tristeza
¡Esa montaña rusa fue increíblemente emocionante! (Variación 67),Sorpresa
Gané la lotería y puedo comprar la casa de mis sueños. (Variación 139),Felicidad
Escuchar esos ruidos por la noche me da mucho miedo. (Variación 139),Miedo
¡Esa montaña rusa fue increíblemente emocionante! (Variación 120),Sorpresa
¡Esa montaña rusa fue increíblemente emocionante! (Variación 138),Sorpresa
No puedo creer que me hayan mentido de esa manera. (Variación 27),Enojo
Escuchar esos ruidos por la noche me da mucho miedo. (Variación 78),Miedo
No puedo soportar el olor de la comida descompuesta. (Variación 107),Asco
Escuchar esos ruidos por la noche me da mucho miedo. (Variación 96),Miedo
Escuchar esos ruidos por la noche me da mucho miedo. (Variación 126),Miedo
No puedo soportar el olor de la comida descompuesta. (Variación 143),Asco
"Perdí a mi mejor amigo, me siento muy solo. (Variación 32)",Tristeza
"Perdí a mi mejor amigo, me siento muy solo. (Variación 144)",Tristeza
¡Esa montaña rusa fue increíblemente emocionante! (Variación 26),Sorpresa
Gané la lotería y puedo comprar la casa de mis sueños. (Variación 36),Felicidad
Gané la lotería y puedo comprar la casa de mis sueños. (Variación 3),Felicidad
No puedo creer que me hayan mentido de esa manera. (Variación 144),Enojo
No puedo soportar el olor de la comida descompuesta. (Variación 114),Asco
Escuchar esos ruidos por la noche me da mucho miedo. (Variación 21),Miedo
"Perdí a mi mejor amigo, me siento muy solo. (Variación 93)",Tristeza
"Perdí a mi mejor amigo, me siento muy solo. (Variación 143)",Tristeza
"Perdí a mi mejor amigo, me siento muy solo. (Variación 144)",Tristeza
Escuchar esos ruidos por la noche me da mucho miedo. (Variación 126),Miedo
No puedo soportar el olor de la comida descompuesta. (Variación 11),Asco
Gané la lotería y puedo comprar la casa de mis sueños. (Variación 126),Felicidad
No puedo creer que me hayan mentido de esa manera. (Variación 8),Enojo
"Perdí a mi mejor amigo, me siento muy solo. (Variación 19)",Tristeza
Escuchar esos ruidos por la noche me da mucho miedo. (Variación 40),Miedo
¡Esa montaña rusa fue increíblemente emocionante! (Variación 78),Sorpresa
Gané la lotería y puedo comprar la casa de mis sueños. (Variación 122),Felicidad
No puedo soportar el olor de la comida descompuesta. (Variación 93),Asco
¡Esa montaña rusa fue increíblemente emocionante! (Variación 141),Sorpresa
No puedo creer que me hayan mentido de esa manera. (Variación 37),Enojo
¡Esa montaña rusa fue increíblemente emocionante! (Variación 20),Sorpresa
No puedo soportar el olor de la comida descompuesta. (Variación 50),Asco
Escuchar esos ruidos por la noche me da mucho miedo. (Variación 110),Miedo
No puedo soportar el olor de la comida descompuesta. (Variación 55),Asco
¡Esa montaña rusa fue increíblemente emocionante! (Variación 65),Sorpresa
Gané la lotería y puedo comprar la casa de mis sueños.,Felicidad
Escuchar esos ruidos por la noche me da mucho miedo. (Variación 16),Miedo
¡Esa montaña rusa fue increíblemente emocionante! (Variación 84),Sorpresa
No puedo creer que me hayan mentido de esa manera. (Variación 39),Enojo
¡Esa montaña rusa fue increíblemente emocionante! (Variación 101),Sorpresa
No puedo soportar el olor de la comida descompuesta. (Variación 108),Asco
¡Esa montaña rusa fue increíblemente emocionante! (Variación 56),Sorpresa
No puedo creer que me hayan mentido de esa manera. (Variación 89),Enojo
No puedo soportar el olor de la comida descompuesta. (Variación 127),Asco
No puedo soportar el olor de la comida descompuesta. (Variación 20),Asco
No puedo creer que me hayan mentido de esa manera.,Enojo
"Perdí a mi mejor amigo, me siento muy solo. (Variación 115)",Tristeza
¡Esa montaña rusa fue increíblemente emocionante! (Variación 77),Sorpresa
No puedo soportar el olor de la comida descompuesta. (Variación 104),Asco
"Perdí a mi mejor amigo, me siento muy solo. (Variación 54)",Tristeza
No puedo creer que me hayan mentido de esa manera. (Variación 59),Enojo
Gané la lotería y puedo comprar la casa de mis sueños. (Variación 113),Felicidad
"Perdí a mi mejor amigo, me siento muy solo. (Variación 111)",Tristeza
Gané la lotería y puedo comprar la casa de mis sueños. (Variación 52),Felicidad
Escuchar esos ruidos por la noche me da mucho miedo. (Variación 54),Miedo
No puedo creer que me hayan mentido de esa manera. (Variación 33),Enojo
¡Esa montaña rusa fue increíblemente emocionante! (Variación 81),Sorpresa
¡Esa montaña rusa fue increíblemente emocionante! (Variación 3),Sorpresa
Gané la lotería y puedo comprar la casa de mis sueños. (Variación 139),Felicidad
No puedo creer que me hayan mentido de esa manera. (Variación 19),Enojo
¡Esa montaña rusa fue increíblemente emocionante! (Variación 19),Sorpresa
Escuchar esos ruidos por la noche me da mucho miedo. (Variación 132),Miedo
Escuchar esos ruidos por la noche me da mucho miedo. (Variación 125),Miedo
No puedo creer que me hayan mentido de esa manera. (Variación 93),Enojo
No puedo soportar el olor de la comida descompuesta. (Variación 67),Asco
¡Esa montaña rusa fue increíblemente emocionante! (Variación 120),Sorpresa
Gané la lotería y puedo comprar la casa de mis sueños. (Variación 96),Felicidad
Gané la lotería y puedo comprar la casa de mis sueños. (Variación 15),Felicidad
No puedo creer que me hayan mentido de esa manera. (Variación 106),Enojo
¡Esa montaña rusa fue increíblemente emocionante! (Variación 107),Sorpresa
No puedo creer que me hayan mentido de esa manera. (Variación 32),Enojo
No puedo soportar el olor de la comida descompuesta. (Variación 26),Asco
¡Esa montaña rusa fue increíblemente emocionante! (Variación 136),Sorpresa
¡Esa montaña rusa fue increíblemente emocionante! (Variación 134),Sorpresa
No puedo creer que me hayan mentido de esa manera. (Variación 28),Enojo
No puedo creer que me hayan mentido de esa manera. (Variación 141),Enojo
"Perdí a mi mejor amigo, me siento muy solo. (Variación 121)",Tristeza
Gané la lotería y puedo comprar la casa de mis sueños. (Variación 125),Felicidad
Escuchar esos ruidos por la noche me da mucho miedo. (Variación 82),Miedo
No puedo soportar el olor de la comida descompuesta. (Variación 44),Asco
No puedo creer que me hayan mentido de esa manera. (Variación 9),Enojo
No puedo creer que me hayan mentido de esa manera. (Variación 41),Enojo
Escuchar esos ruidos por la noche me da mucho miedo. (Variación 36),Miedo
Escuchar esos ruidos por la noche me da mucho miedo. (Variación 58),Miedo
¡Esa montaña rusa fue increíblemente emocionante! (Variación 69),Sorpresa
No puedo creer que me hayan mentido de esa manera. (Variación 60),Enojo
No puedo soportar el olor de la comida descompuesta. (Variación 84),Asco
Escuchar esos ruidos por la noche me da mucho miedo. (Variación 82),Miedo
"Perdí a mi mejor amigo, me siento muy solo. (Variación 49)",Tristeza
Escuchar esos ruidos por la noche me da mucho miedo. (Variación 14),Miedo
Gané la lotería y puedo comprar la casa de mis sueños. (Variación 69),Felicidad
No puedo soportar el olor de la comida descompuesta. (Variación 98),Asco
"Perdí a mi mejor amigo, me siento muy solo. (Variación 8)",Tristeza
¡Esa montaña rusa fue increíblemente emocionante! (Variación 147),Sorpresa
¡Esa montaña rusa fue increíblemente emocionante! (Variación 27),Sorpresa
Gané la lotería y puedo comprar la casa de mis sueños. (Variación 111),Felicidad
No puedo soportar el olor de la comida descompuesta. (Variación 43),Asco
¡Esa montaña rusa fue increíblemente emocionante! (Variación 18),Sorpresa
"Perdí a mi mejor amigo, me siento muy solo. (Variación 117)",Tristeza
¡Esa montaña rusa fue increíblemente emocionante! (Variación 137),Sorpresa
"Perdí a mi mejor amigo, me siento muy solo. (Variación 7)",Tristeza
No puedo soportar el olor de la comida descompuesta. (Variación 94),Asco
Gané la lotería y puedo comprar la casa de mis sueños. (Variación 148),Felicidad
Gané la lotería y puedo comprar la casa de mis sueños. (Variación 41),Felicidad
No puedo creer que me hayan mentido de esa manera. (Variación 3),Enojo
¡Esa montaña rusa fue increíblemente emocionante! (Variación 6),Sorpresa
Gané la lotería y puedo comprar la casa de mis sueños. (Variación 81),Felicidad
¡Esa montaña rusa fue increíblemente emocionante! (Variación 16),Sorpresa
Gané la lotería y puedo comprar la casa de mis sueños. (Variación 34),Felicidad
Gané la lotería y puedo comprar la casa de mis sueños. (Variación 120),Felicidad
Escuchar esos ruidos por la noche me da mucho miedo. (Variación 112),Miedo
¡Esa montaña rusa fue increíblemente emocionante! (Variación 81),Sorpresa
¡Esa montaña rusa fue increíblemente emocionante! (Variación 90),Sorpresa
¡Esa montaña rusa fue increíblemente emocionante! (Variación 104),Sorpresa
No puedo soportar el olor de la comida descompuesta. (Variación 112),Asco
No puedo creer que me hayan mentido de esa manera. (Variación 143),Enojo
No puedo creer que me hayan mentido de esa manera. (Variación 34),Enojo
Gané la lotería y puedo comprar la casa de mis sueños. (Variación 142),Felicidad
No puedo creer que me hayan mentido de esa manera. (Variación 5),Enojo
"Perdí a mi mejor amigo, me siento muy solo. (Variación 48)",Tristeza
"Perdí a mi mejor amigo, me siento muy solo. (Variación 18)",Tristeza
Escuchar esos ruidos por la noche me da mucho miedo. (Variación 97),Miedo
Escuchar esos ruidos por la noche me da mucho miedo. (Variación 125),Miedo
Escuchar esos ruidos por la noche me da mucho miedo. (Variación 55),Miedo
"Perdí a mi mejor amigo, me siento muy solo. (Variación 51)",Tristeza
¡Esa montaña rusa fue increíblemente emocionante! (Variación 9),Sorpresa
No puedo creer que me hayan mentido de esa manera. (Variación 51),Enojo
¡Esa montaña rusa fue increíblemente emocionante! (Variación 127),Sorpresa
Escuchar esos ruidos por la noche me da mucho miedo. (Variación 144),Miedo
"Perdí a mi mejor amigo, me siento muy solo. (Variación 25)",Tristeza
No puedo soportar el olor de la comida descompuesta. (Variación 146),Asco
No puedo soportar el olor de la comida descompuesta. (Variación 48),Asco
Escuchar esos ruidos por la noche me da mucho miedo. (Variación 66),Miedo
"Perdí a mi mejor amigo, me siento muy solo. (Variación 49)",Tristeza
No puedo soportar el olor de la comida descompuesta. (Variación 99),Asco
Gané la lotería y puedo comprar la casa de mis sueños. (Variación 130),Felicidad
No puedo creer que me hayan mentido de esa manera. (Variación 91),Enojo
"Perdí a mi mejor amigo, me siento muy solo. (Variación 132)",Tristeza
"Perdí a mi mejor amigo, me siento muy solo. (Variación 98)",Tristeza
Gané la lotería y puedo comprar la casa de mis sueños. (Variación 1),Felicidad
Escuchar esos ruidos por la noche me da mucho miedo. (Variación 9),Miedo
Escuchar esos ruidos por la noche me da mucho miedo. (Variación 49),Miedo
¡Esa montaña rusa fue increíblemente emocionante! (Variación 9),Sorpresa
Gané la lotería y puedo comprar la casa de mis sueños. (Variación 102),Felicidad
No puedo soportar el olor de la comida descompuesta. (Variación 83),Asco
Escuchar esos ruidos por la noche me da mucho miedo. (Variación 58),Miedo
"Perdí a mi mejor amigo, me siento muy solo. (Variación 91)",Tristeza
¡Esa montaña rusa fue increíblemente emocionante! (Variación 70),Sorpresa
No puedo creer que me hayan mentido de esa manera. (Variación 76),Enojo
Gané la lotería y puedo comprar la casa de mis sueños. (Variación 139),Felicidad
Escuchar esos ruidos por la noche me da mucho miedo. (Variación 33),Miedo
Gané la lotería y puedo comprar la casa de mis sueños. (Variación 32),Felicidad
Escuchar esos ruidos por la noche me da mucho miedo. (Variación 33),Miedo
Escuchar esos ruidos por la noche me da mucho miedo. (Variación 21),Miedo
¡Esa montaña rusa fue increíblemente emocionante! (Variación 79),Sorpresa
No puedo creer que me hayan mentido de esa manera. (Variación 127),Enojo
No puedo soportar el olor de la comida descompuesta. (Variación 42),Asco
Gané la lotería y puedo comprar la casa de mis sueños. (Variación 56),Felicidad
¡Esa montaña rusa fue increíblemente emocionante! (Variación 130),Sorpresa
"Perdí a mi mejor amigo, me siento muy solo. (Variación 76)",Tristeza
¡Esa montaña rusa fue increíblemente emocionante! (Variación 88),Sorpresa
No puedo soportar el olor de la comida descompuesta. (Variación 69),Asco
No puedo creer que me hayan mentido de esa manera. (Variación 45),Enojo
No puedo creer que me hayan mentido de esa manera. (Variación 127),Enojo
Escuchar esos ruidos por la noche me da mucho miedo. (Variación 48),Miedo
Gané la lotería y puedo comprar la casa de mis sueños. (Variación 13),Felicidad
¡Esa montaña rusa fue increíblemente emocionante! (Variación 31),Sorpresa
